# index ref form lemma:morpheus lemma:cltk lemma:cltk-stanza lemma:dilemma pos:morpheus pos:cltk pos:cltk-stanza pos:dilemma agree
50 01.01.02 ὀνομάζουσι ὀνομάζω ὀνομάζω ὀνομάζω ὀνομάζω V- V- V- V- Y
51 01.01.02 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
52 01.01.02 χερσόνησον χερσόνησος χερσόνησος χερσόνημι χερσόνησος N- V- V- N- N
53 01.01.02 Πελοπόννησον· Πελοπόννησος πελοπόννησος Πελοπόννησος Πελοπόννησος N- N- N- N- N
54 01.01.02 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
55 01.01.02 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
56 01.01.02 Πέλοψ Πέλοψ πέλοψ Πέλοψ Πέλοψ N- N- N- N- N
57 01.01.02 ἐκ ἐκ ἐκ ἐκ ἐκ P- P- P- P- Y
58 01.01.02 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
59 01.01.02 Ἀσίας Ἄσιος ἀσία Ἀσία Ἀσία A- N- N- N- N
60 01.01.02 πάλαι πάλα πάλαι πάλαι πάλαι N- D- D- D- N
61 01.01.02 ἀφικόμενος ἀφικνέομαι ἀφικνέομαι ἀφικνέομαι ἀφικνέομαι V- V- V- V- Y
62 01.01.02 πρὸς πρός πρός πρός πρός P- P- P- P- Y
63 01.01.02 ἀνθρώπους ἄνθρωπος ἄνθρωπος ἄνθρωπος ἄνθρωπος N- N- N- N- Y
64 01.01.02 ἀπόρους, ἄπορος ἀπόρους ἄπορος ἄπορος A- V- N- A- N
65 01.01.02 ὡς ὡς ὡς ὡς ὡς C- C- C- C- Y
66 01.01.02 γράφει γράφος γράφω γράφω γράφω N- V- V- V- N
67 01.01.02 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
68 01.01.02 Θουκυδίδης Θουκυδίδης Θουκυδίδης Θουκυδίδης Θουκυδίδης N- N- N- N- Y
69 01.01.02 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
70 01.01.02 Ὀλόρου Ὄλορος ὄλορος Ἴλορος Ὄλορος N- N- N- N- N
71 01.01.02 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
72 01.01.02 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
73 01.01.02 ξυγγραφῇ συγγράφω συγγραφή συγγραφεύς συγγραφή V- N- N- N- N
74 01.01.02 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
75 01.01.02 πολέμου πόλεμος πόλεμος πόλεμος πόλεμος N- N- N- N- Y
76 01.01.02 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
77 01.01.02 τε τε τε τε τε X- D- D- C- Y
78 01.01.02 Ἀθηναίων Ἀθήναια ἀθηναῖος Ἀθήναιος Ἀθηναῖος N- A- N- A- N
79 01.01.02 καὶ καί καί καί καί C- C- C- C- Y
80 01.01.02 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
81 01.01.02 Πελοποννησίων, Πελοποννήσιοι πελοποννήσιοι Πελοποννήσιοι Πελοποννήσιος N- N- N- A- N
82 01.01.02 διὰ διά διά διά διά P- P- P- P- Y
83 01.01.02 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
84 01.01.02 πλοῦτον πλοῦτος1 πλοῦτος πλοῦτος πλοῦτος N- N- N- N- N
85 01.01.02 τιμὴν τιμή τιμή τιμή τιμή N- N- N- N- Y
86 01.01.02 μεγίστην μέγας μέγας μέγας μέγας A- A- A- A- Y
87 01.01.02 ἐνταῦθα ἐνταῦθα ἐνταῦθα ἐνταῦθα ἐνταῦθα D- D- D- D- Y
88 01.01.02 προσλαμβάνει. προσλαμβάνω προσλαμβάνω προσλαμβάνω προσλαμβάνω V- V- V- V- Y
89 01.01.03 οἱ ἕ ὁ ὁ ὁ RP RP RA RA N
90 01.01.03 δὲ δέ δέ δέ δέ X- D- D- C- Y
91 01.01.03 νῦν νῦν νῦν νῦν νῦν D- D- D- D- Y
92 01.01.03 ἐπιχώριοι ἐπιχώριος ἐπιχώριος ἐπιχώριος ἐπιχώριος A- A- A- A- Y
93 01.01.03 ὀνομάζουσιν ὀνομάζω ὀνομάζω ὀνομάζω ὀνομάζω V- V- V- V- Y
94 01.01.03 αὐτὴν αὐτός αὐτός αὐτός αὐτός RP A- A- RP Y
95 01.01.03 Μορέαν· μορέα Μορέα Μορέας Μορέα N- N- N- N- N
96 01.01.03 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
97 01.01.03 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
98 01.01.03 ἰδέα ἰδέα ἰδής ἰδύς ἰδέα N- N- A- N- N
99 01.01.03 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
100 01.01.03 χώρας χώρα χώρα χώρα χώρα N- N- N- N- Y
101 01.01.03 ὁμοία ὅμοιος ὅμοιος ὅμοιος ὅμοιος A- A- A- A- Y
102 01.01.03 ἐστὶ εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
103 01.01.03 τῷ ὁ ὁ ὁ ὁ RA RA RA RA Y
104 01.01.03 φύλλῳ φύλλον φύλλος φύλλον φύλλον N- N- N- N- N
105 01.01.03 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
106 01.01.03 μορέας. μορέα μορέα μορέα μορέα N- N- N- N- Y
107 01.02.01 μικροὶ μικρός μικρός μικρός μικρός A- A- A- A- Y
108 01.02.01 δέ δέ δέ δέ δέ X- D- D- C- Y
109 01.02.01 εἰσιν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
110 01.02.01 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
111 01.02.01 ποταμοὶ ποταμός ποταμός ποταμός ποταμός N- N- N- N- Y
112 01.02.01 καὶ καί καί καί καί C- C- C- C- Y
113 01.02.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
114 01.02.01 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
115 01.02.01 ἠπείρῳ ἤπειρος ἤπειρος ἤπειρος ἤπειρος N- N- N- N- Y
116 01.02.01 καὶ καί καί καί καί C- C- C- C- Y
117 01.02.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
118 01.02.01 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
119 01.02.01 Μορέᾳ μορέα Μορέα Μορέας Μορέα N- N- N- N- N
120 01.02.01 πλὴν πλήν πλήν πλήν πλήν P- P- P- P- Y
121 01.02.01 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
122 01.02.01 Ἀχελῴου, Ἀχελώιος ἀχελῷος Ἀχέλαος Ἀχελῷος N- N- N- N- N
123 01.02.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
124 01.02.01 δὲ δέ δέ δέ δέ X- C- C- C- Y
125 01.02.01 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
126 01.02.01 χειμερινῇ χειμερινός χειμερινός χειμερινός χειμερινός A- A- A- A- Y
127 01.02.01 ὥρᾳ ὥρα ὥρα ὥρα ὥρα N- N- N- N- Y
128 01.02.01 διὰ διά διά διά διά P- P- P- P- Y
129 01.02.01 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
130 01.02.01 ὑετὸν ὑετός ὑετός ὑετός ὑετός N- N- N- N- Y
131 01.02.01 οὐ οὐ οὐ οὐ οὐ D- D- D- D- Y
132 01.02.01 ῥᾳδίως ῥᾴδιος ῥᾴδιος ῥᾴδιος ῥᾴδιος A- D- D- D- Y
133 01.02.01 διαβατοί· διαβατός διαβατός διαβατός διαβατός A- A- A- A- Y
134 01.02.01 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
135 01.02.01 δὲ δέ δέ δέ δέ X- D- D- C- Y
136 01.02.01 Ἀχελῷος Ἀχελῷος ἀχελῷος Ἀχελῷος Ἀχελῷος N- N- N- N- N
137 01.02.01 οὐκ οὐ οὐ οὐ οὐ D- D- D- D- Y
138 01.02.01 ἔστι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
139 01.02.01 μικρὸς μικρός μικρός μικρός μικρός A- A- A- A- Y
140 01.02.01 καὶ καί καί καί καί C- C- C- C- Y
141 01.02.01 τὰς ὁ ὁ ὁ ὁ RA RA RA RA Y
142 01.02.01 πηγὰς πηγάς πηγή πηγή πηγή N- N- N- N- N
143 01.02.01 ἔχει ἔχις ἔχω ἔχω ἔχω N- V- V- V- N
144 01.02.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
145 01.02.01 τοῖς ὁ ὁ ὁ ὁ RA RA RA RA Y
146 01.02.01 λόφοις λόφος λόφος λόφος λόφος N- N- N- N- Y
147 01.02.01 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
148 01.02.01 Ἀλβανίας Ἀλβανία Ἀλβανία Ἀλβανία Ἀλβανία N- N- N- N- Y
149 01.02.01 καὶ καί καί καί καί C- C- C- C- Y
150 01.02.01 ἐσπίπτει εἰσπίπτω ἐσπίπτω εἰσπίπτω εἰσπίπτω V- V- V- V- N
151 01.02.01 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
152 01.02.01 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
153 01.02.01 κόλπον κόλπος κόλπος κόλπος κόλπος N- N- N- N- Y
154 01.02.01 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
155 01.02.01 Ἰόνιον Ἰόνιος Ἰόνιος Ἰόνιος Ἰόνιος A- A- N- A- Y
156 01.02.01 καταντικρὺ καταντικρύ καταντικρὺ καταντικρύ καταντικρύ P- N- P- P- N
157 01.02.01 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
158 01.02.01 Κεφαλληνίας. Κεφαλλήνιος κεφαλληνίη Κεφαλληνίη Κεφαλληνία A- N- N- N- N
159 01.03.01 φέρουσι φέρω φέρω φέρω φέρω V- V- V- V- Y
160 01.03.01 δὲ δέ δέ δέ δέ X- D- D- C- Y
161 01.03.01 ὁδοὶ ὁδός1 ὁδός ὁδός ὁδός N- N- N- N- N
162 01.03.01 διὰ διά διά διά διά P- P- P- P- Y
163 01.03.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
164 01.03.01 λόφων λόφος λόφος λόφος λόφος N- N- N- N- Y
165 01.03.01 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
166 01.03.01 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
167 01.03.01 μεσόγειαν μεσόγεια μεσόγεια μεσόγεια μεσόγεια N- N- N- N- Y
168 01.03.01 ἀλλὰ ἀλλά ἀλλά ἀλλά ἀλλά D- C- C- C- Y
169 01.03.01 φαῦλαί φαῦλος φαῦλαίς φαῦλα φαῦλος A- N- N- A- N
170 01.03.01 εἰσι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
171 01.03.01 καὶ καί καί καί καί C- C- C- C- Y
172 01.03.01 χαλεπαί· χαλεπός χαλεπή χαλεπός χαλεπός A- N- A- A- N
173 01.03.01 ἔνεισι ἔνειμι ἔνειμι νέω ἔνειμι V- V- V- V- N
174 01.03.01 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
175 01.03.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
176 01.03.01 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
177 01.03.01 χώρᾳ χώρα χώρα χώρα χώρα N- N- N- N- Y
178 01.03.01 χαράδραι χαράδρα χαράδρος χαράδρα χαράδρα N- N- N- N- N
179 01.03.01 οὐκ οὐ οὐ οὐ οὐ D- D- D- D- Y
180 01.03.01 ὀλίγαι, ὀλίγος ὀλίγος ὀλίγος ὀλίγος A- A- A- A- Y
181 01.03.01 ὥστε ὥστε ὥστε ὥστε ὥστε D- C- C- C- Y
182 01.03.01 οὐ οὐ οὐ οὐ οὐ D- D- D- D- Y
183 01.03.01 ῥᾳδία ῥᾴδιος ῥᾳδία ῥᾳδίον ῥᾴδιος A- N- N- A- N
184 01.03.01 ἐστὶν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
185 01.03.01 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
186 01.03.01 ἐπιμειξία ἐπιμειξία ἐπιμειξία ἐπιμειξία ἐπιμειξία N- N- N- N- Y
187 01.03.01 τοῖς ὁ ὁ ὁ ὁ RA RA RA RA Y
188 01.03.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
189 01.03.01 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
190 01.03.01 μεσογείᾳ μεσόγαιος μεσογεία μεσογεία μεσόγεια A- N- N- N- N
191 01.03.01 καὶ καί καί καί καί C- C- C- C- Y
192 01.03.01 τοῖς ὁ ὁ ὁ ὁ RA RA RA RA Y
193 01.03.01 παραθαλασσίοις. παραθαλάσσιος παραθαλασσίος παραθαλάσσιος παραθαλάσσιος A- N- A- A- N
194 01.04.01 καὶ καί καί καί καί C- C- D- C- Y
195 01.04.01 προσέτι προσέτι προσέτι πρόστις προσέτι D- D- A- D- N
196 01.04.01 νῆσοι νῆσος νῆσος νῆσος νῆσος N- N- N- N- Y
197 01.04.01 εἰσὶν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
198 01.04.01 οὐκ οὐ οὐ οὐ οὐ D- D- D- D- Y
199 01.04.01 ὀλίγαι ὀλίγος ὀλίγος ὀλίγος ὀλίγος A- A- A- A- Y
200 01.04.01 μεταξὺ μεταξύ μεταξύ μεταξύ μεταξύ D- P- P- P- Y
201 01.04.01 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
202 01.04.01 τε τε τε τε τε X- D- D- C- Y
203 01.04.01 Εὐρώπης Εὐρώπη εὐρώπης Εὐρώπη Εὐρώπη N- N- N- N- N
204 01.04.01 καὶ καί καί καί καί C- C- C- C- Y
205 01.04.01 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
206 01.04.01 Ἀσίας. Ἄσιος ἀσία Ἀσία Ἀσία A- N- N- N- N
207 01.04.02 καὶ καί καί καί καί C- C- D- C- Y
208 01.04.02 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
209 01.04.02 νήσων νέω νῆσος νῆσος νῆσος V- N- N- N- N
210 01.04.02 μεγίστη μέγας μέγας μέγας μέγας A- A- A- A- Y
211 01.04.02 ἐστὶν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
212 01.04.02 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
213 01.04.02 Εὔβοια, Εὔβοια Εὔβοια Εὔβοια Εὔβοια N- N- N- N- Y
214 01.04.02 ἐγγὺς ἐγγύς ἐγγύς ἐγγύς ἐγγύς D- P- P- D- Y
215 01.04.02 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
216 01.04.02 Ἀττικῆς Ἀττικός ἀττική Ἀττική Ἀττικός A- N- N- N- N
217 01.04.02 κειμένη. κεῖμαι κεῖμαι κεῖμαι κεῖμαι V- V- V- V- Y
218 01.04.03 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
219 01.04.03 δὲ δέ δέ δέ δέ X- D- D- C- Y
220 01.04.03 ἄλλων ἄλλος ἄλλος ἄλλος ἄλλος RP A- RP RP Y
221 01.04.03 ὀνομαστόταταί ὀνομαστός ὀνομαστότατής ὀνομαστός ὀνομαστός A- V- A- A- N
222 01.04.03 εἰσιν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
223 01.04.03 ἥ ὁ ὁ ὁ ὁ RA RA RA RA Y
224 01.04.03 τε τε τε τε τε X- D- D- C- Y
225 01.04.03 Σάμος Σάμος Σάμος Σάμος Σάμος N- N- N- N- Y
226 01.04.03 καὶ καί καί καί καί C- C- C- C- Y
227 01.04.03 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
228 01.04.03 Χίος Χίος Χίος Ζίος Χίος N- N- N- N- N
229 01.04.03 καὶ καί καί καί καί C- C- C- C- Y
230 01.04.03 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
231 01.04.03 Λέσβος. Λέσβος Λέσβος Λέσβος Λέσβος N- N- N- N- Y
232 02.01.01 κατὰ κατά κατά κατά κατά P- P- P- P- Y
233 02.01.01 δὲ δέ δέ δέ δέ X- D- D- C- Y
234 02.01.01 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
235 02.01.01 ἀρχὴν ἀρχή ἀρχή ἀρχή ἀρχή N- N- N- N- Y
236 02.01.01 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
237 02.01.01 πολέμου πόλεμος πόλεμος πόλεμος πόλεμος N- N- N- N- Y
238 02.01.01 τοῦδε ὅδε ὅδε ὅδε ὅδε RD RP RP RP Y
239 02.01.01 νέμουσι νέμω νέμω νέμω νέμω V- V- V- V- Y
240 02.01.01 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
241 02.01.01 χώραν χώρα χώρα χώρα χώρα N- N- N- N- Y
242 02.01.01 οἵ ἕ ὁ ὁ ὁ RP RA RA RA N
243 02.01.01 τε τε τε τε τε X- C- D- C- Y
244 02.01.01 Τοῦρκοι Τοῦρκοι Τοῦρκος Τοῦρκος Τοῦρκος N- N- N- N- N
245 02.01.01 (κύριοι κύριος κύριος κύριος κύριος N- N- N- A- Y
246 02.01.01 γάρ γάρ γάρ γάρ γάρ X- D- D- X- Y
247 02.01.01 εἰσι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
248 02.01.01 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
249 02.01.01 γῆς) Γαῖα γῆ γῆ γῆ N- N- N- N- N
250 02.01.01 καὶ καί καί καί καί C- D- C- C- Y
251 02.01.01 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
252 02.01.01 ἀπόγονοι ἀπόγονος ἀπόγονος ἀπόγονος ἀπόγονος A- N- A- N- Y
253 02.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
254 02.01.01 παλαιῶν παλαιός παλαιός παλαιός παλαιός A- A- A- A- Y
255 02.01.01 Πελοποννησίων Πελοποννήσιοι πελοποννήσιοι Πελοποννήσιοι Πελοποννήσιος N- A- N- A- N
256 02.01.01 καὶ καί καί καί καί C- C- C- C- Y
257 02.01.01 ξύμμεικτος σύμμεικτος ξύμμεικτος σύμμεικος σύμμικτος A- N- A- A- N
258 02.01.01 ὄχλος ὄχλος ὄχλος ὄχλος ὄχλος N- N- N- N- Y
259 02.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
260 02.01.01 ἐποίκων· ἔποικος ἐποῖκος ἔποικος ἔποικος A- N- N- A- N
261 02.01.01 καὶ καί καί καί καί C- D- D- C- Y
262 02.01.01 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
263 02.01.01 πλεῖστοι πλεῖστος πλεῖστος πλεῖστος πλεῖστος A- A- A- A- Y
264 02.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
265 02.01.01 ἐποίκων ἔποικος ποικάω ἔποικος ἔποικος A- A- N- A- N
266 02.01.01 Ἀλβάνιοί Ἀλβάνιος Ἀλβάνιος Ἀλβάνιος Ἀλβάνιοί N- A- N- N- N
267 02.01.01 εἰσι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
268 02.01.01 καὶ καί καί καί καί C- C- D- C- Y
269 02.01.01 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
270 02.01.01 μὲν μέν μέν μέν μέν X- D- D- X- Y
271 02.01.01 φίλοι φίλος φίλος φίλος φίλος A- N- A- A- Y
272 02.01.01 εἰσὶ εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
273 02.01.01 τῷ ὁ ὁ ὁ ὁ RA RA RA RA Y
274 02.01.01 Ἑλληνικῷ Ἑλληνικός Ἑλληνικός Ἑλληνικός Ἑλληνικός A- A- A- A- Y
275 02.01.01 δήμῳ, δῆμος δῆμος δῆμος δῆμος N- N- N- N- Y
276 02.01.01 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
277 02.01.01 δὲ δέ δέ δέ δέ X- C- C- C- Y
278 02.01.01 ξύμμαχοί σύμμαχος ξύμμαχος σύμμαχος σύμμαχος A- N- A- A- N
279 02.01.01 εἰσι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
280 02.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
281 02.01.01 Τούρκων. Τοῦρκοι Τούρκων ἔρκος Τοῦρκος N- N- N- N- N
282 02.02.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
283 02.02.01 δὲ δέ δέ δέ δέ X- D- D- C- Y
284 02.02.01 ἄλλων ἄλλος ἄλλος ἄλλος ἄλλος RP A- RP RP Y
285 02.02.01 ἐπιχωρίων ἐπιχώριος ἐπιχώριος ἐπιχώριος ἐπιχώριος A- A- A- A- Y
286 02.02.01 οἱ ἕ ὁ ὁ ὁ RP RP RA RA N
287 02.02.01 μὲν μέν μέν μέν μέν X- D- D- X- Y
288 02.02.01 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
289 02.02.01 δίαιταν δίαιτα δίαιτα δίαιτα δίαιτα N- N- N- N- Y
290 02.02.01 ἄγουσιν ἄγω ἄγω ἄγω ἄγω V- V- V- V- Y
291 02.02.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
292 02.02.01 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
293 02.02.01 μεσογείᾳ μεσόγαιος μεσογεία μεσογεία μεσόγεια A- N- N- N- N
294 02.02.01 κατὰ κατά κατά κατά κατά P- P- P- P- Y
295 02.02.01 κώμας κώμη κώμη κώμη κώμη N- N- N- N- Y
296 02.02.01 ἀτειχίστους ἀτείχιστος ἀτείχιστος ἀτείχιστος ἀτείχιστος A- V- A- A- Y
297 02.02.01 καὶ καί καί καί καί C- C- C- C- Y
298 02.02.01 γεωργοί γεωργός γεωργός γεωργός γεωργός A- N- N- N- Y
299 02.02.01 εἰσι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
300 02.02.01 καὶ καί καί καί καί C- C- C- C- Y
301 02.02.01 τὰ ὁ ὁ ὁ ὁ RA RA RA RA Y
302 02.02.01 πρόβατα πρόβατον πρόβατον πρόβατον πρόβατον N- N- N- N- Y
303 02.02.01 τρέφουσιν τρέφω τρέφω τρέφω τρέφω V- V- V- V- Y
304 02.02.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
305 02.02.01 τοῖς ὁ ὁ ὁ ὁ RA RA RA RA Y
306 02.02.01 λόφοις. λόφος λόφος λόφος λόφος N- N- N- N- Y
307 02.02.02 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
308 02.02.02 δὲ δέ δέ δέ δέ X- D- D- C- Y
309 02.02.02 κάτω κάτος κάτω κάτω κάτω A- D- D- D- N
310 02.02.02 θαλάσσιοί θαλάσσιος θαλάσσιός θαλάσσιος θαλάσσιος A- A- A- A- N
311 02.02.02 εἰσι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
312 02.02.02 καὶ καί καί καί καί C- C- D- C- Y
313 02.02.02 ἔμποροι ἔμπορος ἔμπορος ἔμπορος ἔμπορος A- N- A- A- Y
314 02.02.02 καὶ καί καί καί καί C- C- C- C- Y
315 02.02.02 ἐκ ἐκ ἐκ ἐκ ἐκ P- P- P- P- Y
316 02.02.02 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
